,text
0,Яблонный сад
1,Я хочу быть с тобой
2,Я хочу быть с тобой
3,Я тебя люблю
4,Я так хочу...
5,Я так хочу...
6,Я ничего не могу с собою сделать
7,я ненавижу дрейн
8,Я Не Коммунист
9,Я и твой кот
10,Я з україни
11,Я видел сон
12,Я бью женщин и детей
13,Я
14,Этот мир
15,Это пройдёт
16,Электрический ток
17,Щедрик
18,Шугейз-принцесса
19,Штиль
20,Что такое осень
21,Что Мы Творим
22,Човен
23,Чио-Чио-Сан
24,Черный октябрь
25,Чёрное знамя
26,Чёрно-белые дни
27,Чай под печаль
28,Цусима
29,"Хто, як не ти?"
30,Хочу перемен
31,Холодно
32,Холодні очі
33,Холодні зірки
34,Ходынка
35,Хару мамбуру
36,Халхин - Гол
37,Фотограф (feat. Superkomfort)
38,фотограф
39,форева
40,Фильмы
41,Фильмы
42,Философский камень
43,Феллини (feat. Би-2)
44,Феллини
45,Фейерверк
46,Фантом (Live)
47,Фанк
48,Утро
49,Утро
50,Утонуть / Utonut'
51,Улыбайся
52,Увидел другой
53,Убегай
54,ты слушаешь joy division
55,Ты Неси Меня Река
56,Ты не такая
57,Ты не верь слезам
58,Ты и твоя тень
59,Тут було місто
60,Троллейбус
61,Тримай
62,Тримай
63,Тривога
64,Три хвилини
65,Тоска
66,Тонкая нить
67,То є Львів
68,Ти зі мною (Я здаюсь!)
69,Ти б не повірила
70,Тени от пальм
71,Тебя нет
72,твои волшебные мечты
73,Твоего балкона свет
74,Тараканы (Remix)
75,Танцы
76,Танці (feat. Sad Novelist)
77,Танець пінгвіна
78,"Там, де нас нема"
79,"Така, як ти"
80,Так хочу
81,Так гріє
82,Тайна
83,Тает лёд
84,Сука війна!
85,Судно (Борис Рижий)
86,"Стук ""Одно лишь слово"""
87,Стріляй
88,Старое кино
89,Старі фотографії (A.Muzon Remix)
90,Старая магнитола
91,Спокойная ночь
92,спелая вишня
93,Спектакль окончен
94,Сонник
95,Сон Вещий
96,Солнце
97,Солдатами не рождаются
98,Солдат
99,Сокол
100,Советская
101,Снова привет (feat. Марний)
102,Снова парк
103,Снова
104,Сни
105,Смута
106,Сломаю стену
107,Следы на снегу
108,Скованные одной цепью
109,Сказочная тайга
110,Скажи мне кто ты
111,Силуети
112,Сибириада
113,Сибириада
114,Сибириада
115,Сибириада
116,Сёрф
117,Серёжа
118,Середина грустных лет
119,Серебро
120,Селигер
121,Секрет
122,Секонд-хэнд
123,Сейчас
124,Сега – винтовар
125,Сгорел
126,Свой дом
127,Светомузыка
128,Сан-Франциско
129,Самый дорогой человек
130,Самый Грустный
131,Самые грустные песни
132,Рустем
133,Русское Поле Экпериментов
134,Русский рок
135,Русский Мат
136,Русская принцесса
137,Рукописи не горят
138,Рубці
139,"Родина, вернись домой."
140,Рига-2015
141,Решится само собой
142,Рельсы
143,Рассматривая звёзды
144,Распутин
145,Районы-кварталы
146,Радио волн
147,Пусть поет оружие
148,Пульс
149,Птахи
150,Птаха На Ймення Nachtigall
151,Прощатися
152,Прощавай (feat. Kuaskio)
153,Просвет
154,Пролетариат
155,Прогноз
156,Прованс
157,Поход (Из кинофильма Сибириада)
158,Последний танец
159,Последний герой
160,Последнее лето
161,Пора домой (2017)
162,Пора возвращаться домой (feat. Oxxxymiron)
163,Полон
164,Полковнику никто не пишет
165,Погасли свечи
166,Погасли свечи
167,Пластмассовая жизнь
168,Пластинки
169,підліткове
170,Петропавловск
171,Песня красноармейца
172,Песня для девочек
173,Песнь пустыни
174,Персонажі
175,Перечекаю молодість
176,Переродження
177,Передозировка газировкой
178,Переваги Окупаційного Режиму
179,Первый снег
180,Первоцвет
181,Первомай
182,Пепел
183,Пачка сигарет
184,Пароль
185,Париж(дай мені вогню)
186,Пам'ятаю
187,П'ю з твоїх долонь
188,Отношения = говно
189,Отель Кооператор
190,Ответ
191,Остров
192,осознание
193,Осінь
194,осень
195,Опоздал
196,Опиум для никого
197,"Операция ""Cоюзная сила"""
198,Они ушли
199,Он постоянно
200,окремо від тіла
201,Общество «Память»
202,Обійми
203,Ночь
204,Ночное рандеву
205,Ночное рандеву
206,Нон стоп
207,Ніч
208,Ніде
209,Нечего ждать
210,Невесёлая песня
211,Небоскрёбы
212,Небо славян
213,Небо
214,Небо
215,Небеса и Ад (Heaven and Hell)
216,Не твоя війна
217,Не йди
218,Не для меня
219,Не для меня
220,Не віталік
221,Не відпускай (Акустична версія)
222,Не відпускай
223,Наши юные смешные голоса
224,Наши дни
225,Наше лето
226,Натаха
227,Нарцисс
228,Нам остается лишь ждать
229,навсегда
230,Наваждение
231,На Моем Велосипеде
232,На Моей Луне
233,На Заре (Milennium Version)
234,На Заре (Milennium Version)
235,На Дне
236,На rлубине
237,Мяу
238,Мясо
239,Мясной бор
240,Мы штурмуем небеса
241,Мы идём в тишине
242,Мы идём в тишине
243,Мы идём в тишине
244,Мы идем в тишине
245,Мы
246,Мы
247,Музыка вечер
248,Моя Оборона
249,Моя любовь на пятом этаже
250,Моя империя
251,Моя звезда
252,Москва — Стерлитамак
253,Москва
254,Море (Най цілий світ пропаде)
255,море
256,Молодість
257,Мой вейп
258,Моё сердце
259,Місто Марії
260,Мікрорайон
261,Мить
262,Мир не видит твоей простоты
263,"Минає день, минає ніч"
264,Ми Так Жили Немов Співали Джаз...
265,Ми помрем не в Парижі (feat. Каша Сальцова)
266,Ми помрем не в Парижі
267,Меч Арея
268,Метеорит
269,Мертвые Дельфины
270,Мертвое время
271,Мене вже немає
272,Марш Артилеріі
273,Маншигвери
274,"Мама, мы все тяжело больны"
275,Мама-анархия
276,мальчик
277,Магазины
278,Люди-инвалиды
279,Люди Надоели
280,Люди
281,Любочка
282,ЛУНА (feat. Хаски)
283,Лузер
284,Лошади
285,"Лондон, гуд бай"
286,Літо
287,Ліра
288,Лишь однажды
289,Листопад (feat. Юрій Гуржи)
290,Линия жизни
291,Лётчик
292,Лето
293,Лето
294,Лена
295,Лёд под ногами майора
296,Легион
297,курение убивает
298,Культ тела
299,Кукушка
300,Куда зачем (feat. Дмитрий Гудничев)
301,Кто ты
302,"Кто сказал, что так думать неправильно?"
303,Крыши
304,Крошка моя
305,Кровь
306,Кремация
307,Краткий миг
308,Красно-жёлтые дни
309,Корабль
310,Концерт
311,Кому-то в мире весело
312,Компромисс
313,Комната
314,Комендантский час
315,Командор
316,Кольщик
317,Коли тебе нема
318,когда?
319,Когда твоя девушка больна
320,Коалы
321,Клише
322,Клетка
323,Кис кис кис
324,Кино
325,Кино
326,кино
327,Квіти мінних зон
328,Квіти
329,Квітень V.2
330,Квітень
331,Катафалка
332,Касета
333,Карфаген
334,Каменное сердце
335,Как тебя покорить
336,Как на войне
337,Кайен
338,Каждый раз
339,Кавачай
340,К морю
341,Искупление Огнем
342,ИСКАЛА
343,Искал тебя
344,Издалека
345,Идем на восток!
346,Зродились ми великої години
347,Зло
348,Зеленоглазое Такси
349,Здравствуй
350,Звук и темнота
351,Зверь
352,Звезды / Zvezdy
353,Звезды
354,Звезда по имени Солнце
355,Звезда по имени Солнце
356,Запомню
357,"Закрой за мной дверь, я ухожу"
358,Задание
359,Жизнь за царя
360,Ждать Весны
361,Ещё не вечер
362,Ермак
363,Емігрант
364,Електричка
365,Експеримент
366,Дым и зеркала
367,Души Стареют Быстрее Тел
368,Думаешь ты
369,Дранк
370,Долг и право
371,Дневник Нелюбимой
372,Дискотека / Discoteque
373,Дискотека
374,Дешёвые драмы
375,Дельфіни
376,Дела
377,Девочка-нацболка (feat. babymurderr)
378,Дворы
379,Двоє
380,Две недели до
381,Два корабля
382,Далеко бежит дорога (Мы идём в тишине) [Live]
383,Далеко бежит дорога (Впереди веселья много)
384,Далеко бежит дорога (Впереди веселья много)
385,Давай втечемо
386,Группа крови
387,Грохот Сердца
388,Горю
389,горю
390,Горький опыт
391,Город устал
392,гори гори гори
393,Годинник (feat. Олег Комлач)
394,Годинник
395,Говорит Москва
396,Говорит Москва
397,Глупые белые люди
398,Гвардия Петра
399,Гангут
400,Выхода нет
401,Высота 776
402,Выпьем За Любовь
403,Встречная
404,Всё решено
405,Всё Идёт По Плану (Live)
406,Все идет по плану (Live)
407,Всё Идёт по Плану
408,Все закончится
409,Всё было так
410,Восьмиклассница
411,Восемь
412,Волны
413,Волки
414,Война
415,Война
416,Возможно
417,Вогні
418,Владимирский Централ
419,Владивосток 2000
420,Віра
421,Вінні-Пух
422,Вільний
423,Вільний
424,Війна закінчиться
425,витебск-таллин
426,Висели вместе
427,Винтовка - это праздник
428,Винтовка
429,Видели ночь
430,Вже Не Сам
431,Вечір в Ріо (feat. O.Torvald)
432,Весняна
433,Верь мне
434,Вершки и корешки
435,Вдома Не Буду (feat. Стул Сталина)
436,Варвара
437,В'язниця з видом на вулицю
438,В хаті моїй дідько
439,В сумерках
440,В наших глазах
441,Будемо днями
442,Бородинское сражение
443,Больше нет
444,Бойцы тяжелого металла
445,Бой продолжается
446,Божевілля Дв0х
447,Битва За Москву
448,Бий - бий
449,Беспечный ангел
450,Берег
451,Белые стены
452,Белая ночь
453,Белая Лилия
454,Безодня
455,Без конкретики
456,Без бою
457,Басы долбят
458,Банзай
459,Банды
460,Атака русских мертвецов
461,Алюминиевые огурцы
462,Альтернатива
463,Алкоголь мой враг
464,Автор (feat. Povod)
465,Абонент
466,А я
467,А пам'ятаєш (RMX)
468,А ми у двох
469,2000 Light Years Away
470,1979
471,1979
472,1905
473,1100
474,1000 Hours
475,747 (We Ran Out of Time)
476,100 Years On
477,99 Revolutions
478,99 Red Balloons (Club MIx)
479,99 Luftballons
480,92
481,90
482,86
483,80
484,52 Seconds
485,45 Лет
486,45 Revolutions Per Minute
487,45
488,21st Century Breakdown (Live)
489,21st Century Breakdown
490,21st Century (Digital Boy)
491,21st Century (Digital Boy)
492,21 Guns (Live)
493,21 Guns
494,21 Guns
495,19th Nervous Breakdown (Mono)
496,19
497,12:34
498,8th Avenue Serenade
499,3's & 7's
500,"3,000 Miles"
501,2nd Street
502,The 2nd Law: Unsustainable
503,The 2nd Law: Isolated System
504,2 Minutes To Midnight
505,2 + 2 = 5
506,1 2 X U (2006 Remastered Version)
507,[JFK]
508,(If You're Wondering If I Want You To) I Want You To
509,(I Just) Died in Your Arms
510,(I Can't Get No) Satisfaction (Mono)
511,(I Can't Get No) Satisfaction
512,(Ghost) Riders In the Sky
513,(Don't Fear) The Reaper
514,(Can't Get My) Head Around You
515,"""Heroes"""
516,"""40"""
517,...To Be Loved
518,¿Viva la Gloria? (Little Girl)
519,¡Viva la Gloria! (Live)
520,¡Viva la Gloria!
521,"¡Ay, Carmela!"
522,Żywe Tarcze
523,Zorki
524,Zombie Bastards
525,Zombie
526,ZITTI E BUONI
527,The Zephyr Song
528,Zawisza Czarny
529,Zaślubieni (Miłość i wojna cz. 1)
530,Your Woman
531,Your Song
532,Youngblood
533,Young Lust
534,Young Lovers
535,Young for Eternity
536,You're the Reason I'm Leaving
537,"You're Gonna Go Far, Kid"
538,You with Me
539,You Really Got Me
540,You Never Know
541,You Make Me Feel Like It’s Halloween
542,You Know You're Right
543,You Know My Name
544,You Know Me Too Well
545,You Don't Know Love
546,You Can't Get Away!
547,You Are the Dawn
548,You Are (The Government)
549,You and Whose Army?
550,You
551,Yesterday
552,Yellow Submarine
553,Yellow Ledbetter
554,Yellow House
555,Xmas Time of the Year
556,X-Kid
557,Writing's On the Wall
558,Wow! That's Loud
559,Would?
560,Worry Rock
561,World In Motion
562,Words I Might Have Ate
563,Wonderwall (Remastered)
564,Wonderful Life
565,Wonderful Life
566,Won’t Stand Down
567,Won't Somebody (Acoustic)
568,Won't Somebody
569,Woman
570,Wołyń 1943
571,Without You
572,With You
573,With or Without You
574,With Me
575,With Every Step
576,Wish You Were Here
577,Wish You Were Here
578,The Winner Takes It All
579,Wings of a Butterfly
580,Wind of Change (Re-Recorded)
581,Wind of Change
582,Will Of The People
583,Wild One
584,Wild Flowers
585,Wide Open
586,Wicked Moments
587,Wicked Game
588,Why'd You Only Call Me When You're High?
589,Why Don't You Get a Job
590,Who's Got a Match?
591,Who Wrote Holden Caulfield? (Live)
592,Who Wrote Holden Caulfield?
593,Who Wants To Live Forever
594,Who Only Europe Know (Live)
595,Who Is She?
596,Who Is She X the Perfect Girl (Remix)
597,White Riot (Remastered)
598,White Flag for Peace
599,Whistle For The Choir
600,Whiskey In the Jar
601,Whiskey in the Jar
602,Where Is My Mind?
603,When You're Young and In Love
604,When You Were Young
605,When You Know
606,When We Rule the World
607,When We Rule the World
608,When the Smoke Is Going Down (2015 - Remaster)
609,When I Come Around (Live)
610,When I Come Around
611,When Da Dawgs Come Out To Play (feat. Masta Kent & Bullet Rhymes)
612,Whatsername
613,Whatsername
614,What's Left of the Flag
615,What It Is
616,What I Got
617,What Do You Need?
618,What a Scene
619,"What A Life (From the Motion Picture ""Another Round"")"
620,Wet Sand
621,Westbound Sign
622,Wellwell
623,Welcome to the Jungle
624,Welcome to the DCC
625,Welcome to the Black Parade
626,Welcome to Paradise
627,Welcome to Paradise
628,Weird Fishes / Arpeggi
629,We're Not Gonna Take It
630,We're No Here
631,We're All to Blame
632,We're a Happy Family
633,We Will Rock You
634,We Might Fall Apart
635,We Fell in Love in October
636,We Drink Your Blood
637,We Care a Lot
638,We Are Young (feat. Janelle Monáe) [Acoustic]
639,We Are the Champions
640,We Are Fucking F****d
641,We Are All Made of Stars
642,We Amplify
643,The Way You Used To Do
644,The Way It Was
645,Waterloo
646,Waterfront (Remastered)
647,Waterfall (Remastered)
648,Wasted Time
649,Wart Hog
650,Warning
651,War of Change
652,War Is Over
653,War
654,War
655,Want You Bad
656,Wall of Glass
657,Walking Disaster
658,Walking Contradiction
659,Walking Alone
660,Walk Of Life (Remastered 1996)
661,Walk Away
662,Walk Away
663,Wake Up Call
664,Wake the Dogs
665,Wake Me Up When September Ends (Live)
666,Wake Me Up When September Ends
667,Wake Me Up When September Ends
668,Waiting for the Worms
669,Waiting
670,W Marszu I W Boju
671,Vse Vkusno
672,Voyage voyage
673,Voulez-Vous
674,Vois sur ton chemin (Techno Mix)
675,Voices
676,Viva La Vida
677,Violent End
678,The Violence
679,Viking Death March
680,Victoria
681,Victoria
682,Vicinity Of Obscenity
683,Very Ape
684,Verona
685,Vera
686,Venger (feat. Greta Link)
687,Vélomoteur
688,Vapaus saa odottaa
689,Vampire Heart
690,Valasy
691,Uropia O Morte (Live)
692,Uptight
693,Uprising
694,"Up, Up, Up"
695,Unperson
696,Unintended
697,The Unforgiven II
698,The Unforgiven
699,Undone - The Sweater Song
700,Undisclosed Desires
701,Underdog
702,Underclass Hero
703,Under Your Spell
704,Under Your Scars
705,Under the Bridge
706,Under Pressure (feat. David Bowie)
707,Un Giorno Così
708,Un autre monde
709,Uber Capitalist Death Trade
710,Two Hearts Beat As One
711,Twist and Shout
712,Twenty Four Hours (Live)
713,Twenty Four Hours
714,Turn Me Loose
715,Tucked Away
716,Tubthumping
717,Tu vuò fà l'americano
718,Try Honesty
719,Truth Is a Whisper
720,True North
721,True Love Waits
722,Troublemaker
723,Troubled Times
724,Trouble Breathing
725,The Trooper
726,The Trooper
727,Trip Switch
728,The Trial
729,Travellin' In the Dark (To E.M.P.) [Live]
730,Travellin' In the Dark (To E.M.P.)
731,Transmission
732,Toxicity
733,Tous les garçons et les filles (Slow)
734,Tourette's
735,Totally Wired
736,Toss a Coin to Your Witcher (feat. Black Gryph0n) [Cover]
737,Torna a casa
738,Torna a casa
739,Too Much Too Soon (Bonus Track)
740,Too Much Feeling
741,Too Dumb to Die
742,"Tonight, Tonight"
743,Tomorrow Is Closed
744,Tomorrow (Remastered)
745,"Tom's Diner (feat. Suzanne Vega) [7"" Version]"
746,Told You So
747,Today We Heard the News
748,Today
749,To the World
750,Tired of Sex
751,Tired Angels (To J.M.H.)
752,The Tipping Point
753,Time to Waste
754,Time Is Running Out
755,Time in a Bottle
756,Time & Place
757,Time
758,Tightrope 2020
759,Tight Wad Hill
760,The Tide Is High (Remastered 2001)
761,Thunderstruck
762,Thunderstruck
763,Thunder Road
764,Thunder
765,Thought Contagion
766,Thorn In My Side
767,Thistle & Weeds
768,This Suffering
769,This Is War
770,This Is the Life
771,This Is the End (For You My Friend)
772,This Is My Head Exploding
773,This Is More Like You
774,This Is Mine
775,This Is How It Goes
776,This Is How I Disappear
777,This Charming Man
778,Think About Me
779,The Thin Ice
780,These Days (Live)
781,These Days
782,There Is a Light That Never Goes Out
783,Thème de la Leçon Particulière (Break Beat Version)
784,Them Bones
785,Thank You for the Music
786,Territorial Pissings
787,Terrible Things
788,Terrible Love
789,Tenebre Rosso Sangue (ULTRAKILL) (Original Game Soundtrack)
790,Ten Storey Love Song
791,Teenagers
792,Teenage Lobotomy
793,Tdme
794,"Tchaikovsky: 1812 Ouverture, Op. 49 Solennelle"
795,Taxi Driver
796,Tämän Kylän Poikii
797,Take the Money and Crawl
798,Take or Leave It
799,Take on Me
800,Take Me Out
801,"Take Me Home, Country Roads (Original Version)"
802,Take Back
803,Take a Look Around
804,Take a Chance On Me
805,Take a Bow
806,The System Only Dreams in Total Darkness
807,System Error
808,Sympathy for the Devil
809,Sympathy
810,Swing Lynn
811,Swing Life Away
812,Sweetness
813,Sweet Dreams (Are Made of This)
814,Sweet Dreams
815,Sweet Children
816,Sweet 16
817,Swap Meet
818,Survivor Guilt
819,Survival
820,Surrender
821,Surrender
822,Surprise Surprise
823,Sur la planche 2013
824,Supremacy
825,Supersonic (Remastered)
826,Supermassive Black Hole
827,Supergirl
828,Superblood Wolfmoon
829,Superbitch
830,Super Trouper
831,Sunglasses at Night
832,Sunday Bloody Sunday
833,Sunday
834,Sunburn
835,Summer Sickness
836,Summer Sickness
837,Summer In the City
838,Sultans Of Swing
839,Sultans of Swing
840,Sugar Youth
841,Sugar Sugar
842,Suffer
843,Submission Complete
844,Subliminal
845,Stupid Kid
846,Stuck with Me
847,Stuck In the Middle With You
848,Stuart and the Ave.
849,Struggle
850,Struggle
851,Stressed Out
852,Streets of Philadelphia (Single Edit)
853,Street Spirit (Fade Out)
854,Stray Heart
855,Strangers In The Night (2008 Remastered)
856,Strangeland
857,Stop When the Red Lights Flash
858,Stop
859,Stolen Dance
860,Stockholm Syndrome
861,Still Waiting
862,Still Loving You (Re-Recorded)
863,Still Counting
864,Still Breathing
865,Stay the Night
866,Stay Away
867,The Static Age
868,Stary Wiarus
869,Starman (2012 Remaster)
870,Starlight
871,Stare at the Sun
872,Stairway to Heaven
873,Stacy's Mom
874,Stab You In the Heart
875,St. Jimmy
876,St. Anger
877,SPIT IN MY FACE!
878,special
879,Spanish Lady
880,Spaceman
881,Space Oddity
882,Space Dementia
883,The Sound of Silence
884,Soul Surrender
885,Sos!
886,SOS
887,Sorry About That
888,Sorry (Acoustic)
889,Sorry
890,Sorrow (Acoustic)
891,Sophie
892,Sono bugiarda (I'm A Believer)
893,Sonne
894,Song of the Century
895,Song 2 (2012 Remaster)
896,Song #3
897,A Song
898,Somewhere Only We Know
899,Somewhere Now
900,Somewhere
901,Sometimes I Feel Like Screaming
902,Something In the Way
903,Something Better
904,Someone to Believe
905,Somebody Told Me
906,Somebody Told Me
907,Somebody to Shove (2022 Remaster)
908,Some of Adam's Blues
909,Some Nights
910,Sober
911,A Soalin'
912,So Long (feat. Frank Turner)
913,So Far Away
914,So Cold
915,Snow (Hey Oh)
916,Smooth Sailing
917,Smooth Criminal
918,Smokestack
919,Smokers Outside the Hospital Doors
920,Smoke On the Water
921,Smile Like You Mean It
922,Smells Like Teen Spirit
923,Smells Like Teen Spirit
924,Smells Like Nirvana
925,Smash
926,Slumber
927,Słowiańska Armia Pracy
928,Sliver
929,Slide
930,Sleep
931,Śląski Rycerz
932,Skyscraper (Acoustic)
933,Sky Is Over
934,A Sky Full of Stars
935,Skrzydła Chwały
936,Skinny Love
937,Sk8er Boi
938,Six Days (feat. Mos Def) [Remix]
939,Sirens
940,Since You Been Gone
941,Silence
942,Sifting
943,Sierp I Młot
944,Siberiada
945,Showbiz
946,The Show Must Go On
947,The Show Must Go On
948,Show Me How to Live
949,Should I Stay or Should I Go
950,Shot At the Night
951,Shot
952,Short Change Hero
953,Shoplifter (Bonus Track)
954,The Shooting
955,Sheena Is a Punk Rocker
956,She's Lost Control
957,She's a Rebel
958,She Sun
959,She Loves Me Not
960,She Loves Me Not
961,She Bangs the Drums (Remastered)
962,She (Live)
963,She
964,The Sharpest Lives
965,Shape of My Heart
966,Shadowplay
967,Shadowplay
968,"Sex, Drugs & Violence"
969,Seven Nation Army
970,Seven Nation Army
971,Seven Drunken Nights
972,Serve the Servants
973,Sen Powstańca
974,Semi-Charmed Life
975,Selling the Drama
976,Self Esteem
977,Self Control
978,Seeing Double At the Triple Rock
979,See You Tonight
980,See the Light
981,Seconds
982,Second Soul
983,Seasons in the Sun
984,Seal the Deal
985,Sea of Love
986,Scrutiny
987,Scotty Doesn't Know
988,Scoff
989,School's Out
990,School
991,Scentless Apprentice
992,Scattered
993,Scars
994,Say It Ain't So (Remix)
995,Say It Ain't So
996,Say Goodbye
997,Savior
998,Save Your Tears
999,Save Me
1000,Sauvages et candides
1001,Saturday Superhouse
1002,Satellite
1003,Sassafras Roots
1004,Sarà Perché Ti Amo
1005,Sappy
1006,Santeria
1007,Sam's Town
1008,The Saints Are Coming
1009,Sail to the Moon
1010,"The Saga Begins (Lyrical Adaption of ""American Pie"")"
1011,Sadie
1012,Sad But True
1013,Saari
1014,Rusty James
1015,Rusted from the Rain
1016,Rusted from the Rain
1017,Russians
1018,Running Up That Hill (A Deal With God) (2018 Remaster)
1019,Running Up That Hill
1020,Runnin' Across the Tracks
1021,Runaways
1022,Runaway Train (2022 Remaster)
1023,Runaway
1024,Run to the Water
1025,Run to the Hills
1026,Run Like Hell
1027,Run for Cover
1028,Rule Britannia!
1029,Ruby
1030,Roxanne
1031,Round Here
1032,Rose Tattoo
1033,Rooster
1034,Rollin' (Air Raid Vehicle)
1035,Rój
1036,The Rocky Road To Dublin
1037,Rocket Man (I Think It's Going To Be A Long Long Time) [Remastered]
1038,Rockaway Beach
1039,Rock the Night
1040,Rock the Casbah
1041,Rock & Roll Queen (Radio Edit)
1042,Rock 'N' Roll High School
1043,"The Road to Hell, Pt. 2"
1044,"The Road to Hell, Pt. 1"
1045,The River
1046,The Rising of the Moon
1047,Riot
1048,Right Here Right Now (Single Version)
1049,Riders On the Storm
1050,Rhythm Is a Dancer
1051,Revolution Radio
1052,Revolution
1053,Revolution
1054,Reuters (2006 Remastered Version)
1055,Return to Russia — but in verse
1056,Retrograde
1057,Restless Heart Syndrome
1058,Resistance
1059,Requiem for Dissent
1060,Remedy
1061,Release the Pressure
1062,Reject
1063,"Reise, Reise"
1064,The Refugee
1065,Reduta Ordona
1066,Redundant
1067,Redemption Song
1068,Red Light
1069,Red Flag
1070,The Reason
1071,Reapers
1072,Real Love Song
1073,A Real Hero
1074,Read My Mind
1075,"Reach Out, I'll Be There"
1076,Re-Education (Through Labor)
1077,The Razors Edge
1078,Rape Me
1079,Rape Me
1080,Ragazzi Di Buda
1081,Radio Violence
1082,Radio Nowhere
1083,Radio Ga Ga
1084,Radio Friendly Unit Shifter
1085,Radio
1086,Radio
1087,The Racing Rats
1088,R.I.P. (Millie)
1089,"A Quick One, While He's Away"
1090,A Quick One While He's Away (Bonus Track)
1091,The Queen Is Dead
1092,Pyramid Song
1093,Pussy Power
1094,Punk Rock Song
1095,Pulling Teeth
1096,Psycho Dreams
1097,Psycho
1098,Przeżyjemy
1099,Proud Mary (1993 Version)
1100,Protector
1101,Prosthetic Head
1102,Promises
1103,Prodigal Son
1104,Private Eye
1105,Private Ale
1106,Princes of the Universe
1107,Primary
1108,The Price
1109,"Pretty Vacant (Denmark Street Demo, July 1976)"
1110,"Pretty Fly for a Rabbi [Parody of ""Pretty Fly (For a White Guy)"" By Offspring]"
1111,Pretty Fly (For a White Guy)
1112,The Press Corpse
1113,Present Tense
1114,Prayer Of The Refugee
1115,Prayer of the Refugee
1116,Prayer in C (Robin Schulz Radio Edit)
1117,Prayer In C
1118,Praise You
1119,Pop The Balloon
1120,Pompeii
1121,Polska Walcząca
1122,Polly (Smart Sessions)
1123,Poison
1124,Plug In Baby
1125,Please Please Please Let Me Get What I Want
1126,Platypus (I Hate You)
1127,Planet Zero
1128,Pins and Needles
1129,Pink Triangle
1130,Pink Triangle
1131,Pink Flag (2006 Remastered Version)
1132,Pinhead
1133,Pieces
1134,Piece By Piece
1135,"Piano Concerto No. 1 in B-Flat Minor, Op. 23: I. Allegro non troppo e molto maestoso (Excerpt)"
1136,Photograph
1137,Phobia
1138,Phat Planet
1139,Pet Sematary
1140,Personal Jesus
1141,The Perfect Girl
1142,Perfect
1143,People Are Strange
1144,Pennyroyal Tea (Scott Litt Remix)
1145,Pennyroyal Tea
1146,Pearls in Her Hair
1147,Peaches
1148,Peacemaker
1149,Peace of Mind
1150,Patience
1151,Past Lives
1152,Passover (Live)
1153,Passover
1154,The Passenger
1155,A Passage In Time
1156,Parnassus
1157,Paris
1158,Paranoid Android
1159,Paranoid (2012 - Remaster)
1160,Paranoid
1161,PARANOIA
1162,Parallel Universe
1163,Paradise City
1164,Papillon
1165,Papillion
1166,Paper Machete
1167,Paper Lanterns / 2000 Light Years Away (Live) [Bonus Track]
1168,Paper Lanterns
1169,Paper Cuts
1170,Panic Station
1171,Panic Song
1172,Panic
1173,"Paint it, Black (The Rolling Stones, Ukrainian cover) - Зафарбую чорним"
1174,Paint It Black
1175,Pain for Pleasure
1176,Oy Ty Moya Zemle
1177,Overdrive
1178,Overcome
1179,Overcome
1180,Over the Hills and Far Away
1181,Over the Hills and Far Away
1182,Over Seasons
1183,Over My Head (Better Off Dead)
1184,Over My Head
1185,Outsider
1186,Outside the Wall
1187,Outlaws
1188,Out of the Black
1189,Otherside
1190,ORP Sokół
1191,Orlęta Warszawy
1192,Original Prankster (feat. Redman)
1193,Ordinary World
1194,Open Up
1195,Only in Dreams
1196,One Way Track Kid
1197,One of Us
1198,One of My Turns
1199,One of My Lies
1200,One More Minute
1201,One Lion's Roar
