,text
1202,The One I Love
1203,One Hundred Years
1204,One for the Razorbacks
1205,One Fire
1206,One
1207,Once
1208,On a Plain
1209,Olen Kuullut Merestä
1210,"Oh, oh chéri"
1211,Oh Yeah!
1212,Oh Yeah
1213,Oh My God
1214,Oh Love
1215,Ode to Britannia
1216,Ocean of Night
1217,Nutshell
1218,"The Nutcracker, Op. 71: III. March (Tempo di marcia viva)"
1219,The Numbers
1220,Numb
1221,Nude
1222,Nuclear Family
1223,Nothing Matters
1224,Nothing Else Matters
1225,Nothing Else Matters
1226,"Nothing Compares 2 U (Live at SiriusXM, 2015)"
1227,Nookie
1228,None of the Above
1229,Nobody Praying for Me
1230,Nobody Home
1231,No Surprises
1232,No Pride
1233,No One Like You (Re-Recorded)
1234,No One Knows
1235,No One Knows
1236,"No Oath, No Spell"
1237,No Guts No Glory
1238,No Goodbyes
1239,No Future (aka 'God Save The Queen')
1240,No Fear
1241,No Excuses
1242,No Control
1243,Nightside of Siberia
1244,Nightlife
1245,Nightcall
1246,Nice Guys Finish Last
1247,Next to You
1248,New Year's Day
1249,New England (feat. Bob Vylan)
1250,New Divide
1251,New Dawn Fades
1252,New Dawn Fades
1253,New Dark Ages
1254,New Born
1255,Never Too Late
1256,Never Miss a Beat
1257,Negative Creep
1258,Nearly Forgot My Broken Heart
1259,Nantucket Sleighride (To Owen Coffin)
1260,The Name of the Game
1261,Name
1262,Na Na Na Na Naa
1263,Mykonos
1264,My Way (2008 Remastered)
1265,My Sanity
1266,My Name Is Jonas
1267,My Lady
1268,My Iron Lung
1269,My Heroine
1270,My God Is the Sun
1271,My Generation (Mono Version)
1272,My Generation
1273,My Funeral
1274,Mutter
1275,Muscle Museum
1276,Murder City
1277,Murder at the Arcade (feat. Tablation) [Instrumental]
1278,Murder
1279,Munich
1280,Mrs. Robinson
1281,Mr. Mustache
1282,Mr. Jones
1283,Mr. Brightside
1284,Mr. Blue Sky
1285,Mr. Blue Sky
1286,Movies
1287,Mountains
1288,Motorcycle Drive By
1289,Motorcycle Cop
1290,Motivation
1291,Motion Sickness
1292,Mother
1293,Mother
1294,More Than a Feeling
1295,Monster
1296,Moneytalks
1297,"Money, Money, Money"
1298,Money For Nothing (Edit)
1299,Money for Nothing
1300,Money
1301,"Monday, Monday (Single)"
1302,Molly's Lips (BBC John Peel Session 1990)
1303,Mój Hymn
1304,Modern Way
1305,Mistake
1306,Mistake
1307,Mississippi Queen
1308,Missing You
1309,Miss You
1310,Miss Murder
1311,Miss Atomic Bomb
1312,Misirlou
1313,Misery Business
1314,Misery (Single Version)
1315,Misery
1316,Miserable at Best
1317,The Miracle (Of Joey Ramone)
1318,Minority
1319,Minds Like Minefields
1320,Milk It
1321,Midlife Crisis
1322,The Middle (Acoustic Version)
1323,The Middle
1324,The Middle
1325,Mid-Range Jumper
1326,Mexican Radio
1327,Message In a Bottle
1328,Merry Xmas Everybody
1329,Mercy Me
1330,Mercy
1331,Memory Reboot
1332,Melt
1333,Mein Teil
1334,Mein Herz brennt
1335,Meet Me On the Roof
1336,A Means to an End (Live)
1337,A Means to an End
1338,Me! I Disconnect from You (1998 Remaster)
1339,Maybe I'll Catch Fire
1340,A Matter of Time
1341,Matkalla Etelään
1342,Master of Puppets
1343,Mary
1344,"Marsch der Zinnsoldaten aus ""Nußknackersuite"""
1345,Map of the Problematique
1346,Many of Horror
1347,Maneater
1348,Manchester
1349,The Man Who Sold the World (Live Acoustic)
1350,The Man Who Sold the World (Live Acoustic)
1351,Man starts with sorrow
1352,Man on the Moon
1353,Man in the Box
1354,The Man
1355,Mamma Mia
1356,Mama Said
1357,Mama
1358,Mały Powstaniec
1359,Makes No Difference (Alternate Version)
1360,Makeout Party
1361,Make Merry
1362,Make It Wit Chu
1363,Make It Stop (September's Children)
1364,Main Title
1365,Madness
1366,Madness
1367,Macy's Day Parade
1368,Machines
1369,Machine Gun
1370,M.O.R. (2012 Remaster)
1371,Lux Aeterna
1372,LUNA (Remix)
1373,Lump
1374,Lullaby
1375,Lucky Man
1376,Lowlife
1377,Love Will Tear Us Apart (Live)
1378,Love Will Tear Us Apart
1379,Love Spreads
1380,Love Song
1381,Love Like Winter
1382,Love Is Noise
1383,Love is for Losers
1384,Love Hurts (Single Edit)
1385,Love Her Madly
1386,Love Buzz
1387,Lounge Act
1388,Lost River
1389,Lost Pilgrim
1390,The Lost Art of Keeping a Secret
1391,Loss of Control
1392,Losing My Religion
1393,Losing a Whole Year
1394,Lord High Human Being
1395,"Look Ma, No Brains!"
1396,Longview
1397,Long Run
1398,Long Forgotten Sons
1399,A Long December
1400,Lonely Day
1401,London Calling
1402,Lola Montez
1403,Living Next Door to Alice
1404,Livin' On a Prayer
1405,Livin' In a World Without You
1406,Livin' In a World Without You
1407,Live Is Life
1408,Live Forever (Remastered)
1409,Little Lion Man
1410,Little Faith
1411,Little Dark Age
1412,Little By Little
1413,A Little Boy Named Train
1414,Lithium
1415,Lithium
1416,List of Things
1417,Lisowczycy
1418,Lis-Kula
1419,Lines of Light
1420,Like a Stone
1421,Like a Song...
1422,Lightning Crashes
1423,The Light Behind Your Eyes
1424,Lift One Up
1425,Lift Me Up
1426,Lifestyles of the Rich & Famous
1427,Life On Mars?
1428,Life of Crime
1429,Life in a Day
1430,Life During Wartime
1431,Liebe Du Schwein
1432,Lie Lie Lie
1433,Liberation
1434,"Liar, Liar"
1435,Letterbomb (Live) [Bonus Track]
1436,Letterbomb
1437,Let Yourself Go
1438,Let the Gods Decide
1439,Let The Bad Times Roll
1440,Let It Burn
1441,The Less I Know the Better
1442,Le temps de l'amour (Fox Medium)
1443,Lazy Bones
1444,Lazy Bones
1445,Lazarus
1446,Lay All Your Love On Me
1447,"Lawyers, Guns and Money (Remastered)"
1448,The Last Time
1449,Last Summer
1450,Last Ride In
1451,Last Resort
1452,Last of the American Girls
1453,Last Night On Earth
1454,Last Night I Dreamt That Somebody Loved Me
1455,Last Kiss
1456,Las Cosas Tienen Movimiento
1457,Lakini's Juice
1458,Lady in Black (2016 - Remaster)
1459,Lady Cobra
1460,La femme
1461,La Fee Verte
1462,La Diabla
1463,L'aventurier
1464,L'altra dimensione
1465,Krew Płynie Po Szablach
1466,"Knowing Me, Knowing You"
1467,Know Your Enemy (Live)
1468,Know Your Enemy
1469,Knockin' On Heaven's Door
1470,Knockin' On Heaven's Door
1471,Knights of Cydonia
1472,The KKK Took My Baby Away
1473,Kiss You to Death
1474,Kiss Me
1475,The Kiss
1476,Kings and Queens
1477,King for a Day
1478,A Kind of Magic (Live At Wembley Stadium / July 1986)
1479,Killing Loneliness
1480,Killing In the Name
1481,Killer Queen
1482,Kill Your Friends
1483,Kill the DJ
1484,Kill Or Be Killed
1485,The Kill (Bury Me)
1486,The Kids Aren't Alright (Full Mix) [The Wiseguys Remix]
1487,The Kids Aren't Alright
1488,Kesäyö
1489,KEKE
1490,Keep Yourself Alive
1491,Keep Fishin'
1492,Katyńskie Łzy
1493,Karma Police
1494,Kałasznikow
1495,Już Nie Musimy Umierać
1496,Just the Way I'm Feeling
1497,Just Like Heaven
1498,Just Can't Get Enough
1499,Just Breathe
1500,Just Another Girl
1501,Just a Day (Alan Moulder Mix)
1502,Just
1503,Junkies On a High
1504,Jumper
1505,Jump
1506,Judy Is a Punk
1507,Jolene (Destructo Remix)
1508,Joker and the Thief
1509,Join Me (Razorblade Mix)
1510,Jinx
1511,Jesus of Suburbia
1512,Jesus of Suburbia
1513,Jeremy
1514,Jenny Was a Friend of Mine
1515,Je veux
1516,Jamie All Over
1517,Jaded
1518,Jackass
1519,Jack & Diane
1520,J'en suis fou
1521,J.A.R. (Jason Andrew Relva) [Live]
1522,J.A.R. (Jason Andrew Relva)
1523,J.A.R. (Jason Andrew Relva)
1524,Itch
1525,It’s all so important now
1526,It's Time to Wake Up 2023
1527,It's Over
1528,It's Not Over
1529,It's My Life
1530,It's Been Awhile
1531,It's a Sin (2018 Remaster)
1532,It'll Never Be Me (feat. The Pretty Things)
1533,Isolation (Live)
1534,Isolation
1535,Island In the Sun
1536,Is There Anybody Out There?
1537,Is Everybody Going Crazy?
1538,Iron Man (2012 - Remaster)
1539,The Irish Rover
1540,The Irish Navy
1541,Iris
1542,"Irgendwie, irgendwo, irgendwann (Special 12"" Dance Mix)"
1543,"Irgendwie, Irgendwo, Irgendwann"
1544,Invincible
1545,International You Day
1546,Insomnia
1547,Insight (Live)
1548,Inside Out
1549,Innuendo
1550,Infrared (Live)
1551,Infected (Instrumental)
1552,Infected
1553,Infected
1554,In Your House
1555,In Too Deep
1556,In This Shirt
1557,In the Woods
1558,In the Shadows
1559,In the Name of God (Deus Vult)
1560,In the Garage
1561,In the Flesh?
1562,In the Flesh
1563,In the End
1564,In the End
1565,In the Army Now
1566,In the Air Tonight
1567,In Bloom (Nevermind Version)
1568,In Bloom
1569,In Bloom
1570,Impossible
1571,Immigrant Song
1572,Il Tempo Se Ne Va
1573,Ignorance
1574,If I Had a Tail
1575,Ich will
1576,The Ice March
1577,Ice Ice Baby
1578,I've Seen the Future
1579,I'm Singing Again (Radio Version)
1580,I'm Shipping up to Boston
1581,I'm Gonna Be (500 Miles)
1582,I'll Stick Around
1583,I will not die
1584,I Was Made for Lovin' You
1585,I Was Just a Kid
1586,I Was a Teenage Teenager
1587,I Want to Hear What You Have Got to Say
1588,I Want To Break Free
1589,I Want Out
1590,I Want It All
1591,I Wanna Rock
1592,I WANNA BE YOUR SLAVE (Mixed)
1593,I WANNA BE YOUR SLAVE
1594,I Wanna Be Your Dog
1595,I Wanna Be Your Boyfriend
1596,I Wanna Be Sedated
1597,I Wanna Be Adored (Remastered)
1598,I Think We're Alone Now
1599,I Surrender
1600,I Saw Her Standing There
1601,I Saw Her Again (Single Version)
1602,I Sat by the Ocean
1603,I Ran
1604,I Predict A Riot
1605,I Need My Girl
1606,I Love Rock 'N Roll
1607,I Like Chinese
1608,I Know It's Over
1609,I Know
1610,I Just Want to Have Something to Do
1611,I Have a Dream
1612,I Hate You
1613,I Hate Everything About You
1614,I Don’t Want To Be Here Anymore
1615,I Don't Love You
1616,I Don't Dance
1617,I Don't Care (feat. Adam Gontier)
1618,I Can't Stop Thinking About You (LA Version)
1619,I Belong to You (+Mon Coeur S'Ouvre a Ta Voix)
1620,I Am the Resurrection (Remastered)
1621,I Am the Highway
1622,I Am the Fly (2006 Remastered Version)
1623,I Am the Antichrist to You
1624,I Am Machine
1625,I Alone
1626,Hysteria
1627,Hypnotize
1628,Hurt
1629,Hurt
1630,Hurricane
1631,Hurricane
1632,Hungry Heart
1633,Human Cannonball
1634,Human
1635,How's It Going to Be
1636,How You Remind Me
1637,How You Like Me Now
1638,How to Disappear Completely
1639,"How Soon Is Now? (12"" Version)"
1640,House of Wolves
1641,The House of the Rising Sun
1642,Hotel California
1643,Horseshoes and Handgrenades
1644,Honor Legionisty
1645,Honest Goodbye
1646,Homecoming
1647,Homecoming
1648,The Holy Ground
1649,Holy Diver
1650,Hologram
1651,Holocene
1652,Hollywood Hills
1653,Holier Than Thou
1654,Holiday / Boulevard of Broken Dreams
1655,Holiday (Live)
1656,Holiday (Live)
1657,Holiday
1658,Holiday
1659,Hold the Line
1660,"Hold On, I'm Coming"
1661,Hold On
1662,Hitchin' a Ride
1663,Hit That
1664,Highway to Hell
1665,High Hopes
1666,High As a Kite
1667,High and Dry
1668,Hey You
1669,Heroes & Martyrs
1670,Hero of War
1671,Here With Me
1672,Here Is Gone
1673,Here Comes Your Man
1674,Help!
1675,Help Is On the Way
1676,Help
1677,The Hell Song (Live)
1678,The Hell Song
1679,Heaven Knows I'm Miserable Now
1680,Heartkiller
1681,Heart-Shaped Box
1682,Heart-Shaped Box
1683,Heart Full of Soul
1684,Heart and Soul
1685,Hear You Me
1686,Headphones
1687,The Headmaster Ritual
1688,Having a Blast
1689,Have You Ever Seen the Rain?
1690,Have You Ever Seen the Rain
1691,Haushinka
1692,Hate Us and See If We Mind
1693,Hate to Say I Told You So
1694,Hash Pipe
1695,Harakiri
1696,Harakiri
1697,Happy Together
1698,Happy Together
1699,Happiness
1700,The Happiest Days of Our Lives
1701,Hang'em All
1702,Handle This
1703,Hammer To Fall
1704,Gyöngyhajú lány
1705,The Guns of Brixton
1706,Guiding Light
1707,"Grozny, You Keep the Enemy"
1708,Grounds for Divorce
1709,The Grouch
1710,Green Eyes :: Siena
1711,Green Day
1712,The Great Train Robbery
1713,The Grand Delusion
1714,Grains of Wrath
1715,Graffitia
1716,Graduate
1717,Governator (Bonus Track)
1718,Gotta Get Away
1719,Goodbye To Romance
1720,Goodbye Horses
1721,Goodbye Cruel World
1722,Goodbye Blue Sky
1723,Good Riddance (Time of Your Life) [Live]
1724,Good Riddance (Time of Your Life)
1725,good 4 u
1726,Gone Away
1727,Golden Brown
1728,Going Underground
1729,Going to Pasalacqua (Live)
1730,Going to Pasalacqua
1731,God Song (Acoustic)
1732,Go With The Flow
1733,Go to the Light
1734,Go
1735,Glory Days
1736,The Globalist
1737,Glass (Live)
1738,Give Me Novacaine / She's a Rebel
1739,Give Me Novacaine
1740,Give It Away
1741,Give It All
1742,Girlfriend In a Coma
1743,Girl's Not Grey
1744,"Girl, You'll Be a Woman Soon"
1745,A Girl Like You
1746,Gimme! Gimme! Gimme! (A Man After Midnight)
1747,Gimme Shelter
1748,Ghosts (How Can I Move On)
1749,Getting Away with Murder
1750,Get Some Sleep
1751,Germs of Perfection
1752,Geek Stink Breath (Live)
1753,Geek Stink Breath
1754,Gay Porn
1755,The Gates of Babylon
1756,Galvanize
1757,Galaxy Song (feat. Stephen Hawking)
1758,Futureproof
1759,The Funeral of Hearts
1760,The Fugitive Kind
1761,F****n' in the Bushes
1762,Fuck You
1763,Fuck Authority
1764,Frunze-Ngălbenite
1765,From Yesterday
1766,Friday I'm In Love
1767,Free Bird
1768,Freaks
1769,"Frankly, Mr. Shankly"
1770,Frances Farmer Will Have Her Revenge On Seattle
1771,"The Four Seasons, Op. 8, Concerto No. 4 in F Minor, RV 297 ""Winter"": I. Allegro non molto"
1772,Fortunate Son
1773,Fortress
1774,The Forgotten
1775,Forever Young
1776,Forever Now
1777,Forever & Ever More
1778,A Forest
1779,Foreplay / Long Time
1780,For Whom the Bell Tolls (Remastered)
1781,For What It's Worth
1782,For the Kids
1783,For the Kids
1784,For Evigt (feat. Johan Olsen)
1785,Fools Gold (Remastered)
1786,Folsom Prison Blues
1787,Follow Me
1788,Floyd the Barber
1789,Flowers On the Wall
1790,Flower
1791,Flight of Icarus
1792,Fleur de lune
1793,Flags
1794,First One in the Pit
1795,First Day of My Life
1796,First Aid Kit
1797,First
1798,"Fire, Ready, Aim"
1799,Fire Your Guns
1800,Fire
1801,Finland
1802,Fine Again
1803,The Final Countdown
1804,Fillip
1805,Figure It Out
1806,Fight Forever
1807,Fields of Mars
1808,Fields of Gold
1809,Feuer frei
1810,Fernando
1811,Fell In Love With a Girl
1812,Fell for You
1813,Felicità
1814,Feelings (aka 'No Feelings')
1815,Feeling Good
1816,Feeling a Moment
1817,Fear of the Dark
1818,Father of All...
1819,Fat Lip
1820,Fat Bottomed Girls
1821,Fashion Victim
1822,A Farewell to Europe
1823,Far from Any Road
1824,Famous Last Words
1825,Falling Down
1826,Fallin' Down
1827,Fallen Leaves
1828,Fall
1829,Fake Plastic Trees
1830,Fake It
1831,Faith
1832,Fairytale Gone Bad
1833,Fading shore
1834,Fade To Black (Remastered)
1835,The Face of God
1836,F*** Time
1837,F.O.D.
1838,Eye of the Tiger
1839,Extreme Ways
1840,Extraordinary Girl / Letterbomb
1841,Extraordinary Girl
1842,Exit Music (For a Film)
1843,Ex Lion Tamer (2006 Remastered Version)
1844,Everything's Electric
1845,Everything In Its Right Place
1846,Everyday Is Like Sunday
1847,Everyday I Love You Less and Less
1848,Everybody Wants to Rule the World
1849,Everybody Wants to Rule the World
1850,Everybody Hurts
1851,"Every You, Every Me"
1852,Every Breath You Take
1853,Everlong
1854,Ever Fallen in Love (With Someone You Shouldn't've?) [1996 Remastered Version]
1855,Even Flow
1856,Euphoria
1857,The Eternal (Live) [Encore]
1858,The Eternal
1859,"Et moi, et moi, et moi"
1860,Epiphany
1861,Epic
1862,Entrance Song
1863,Enter Sandman
1864,Enjoy the Silence
1865,Englishman In New York
1866,Engel
1867,Enemies
1868,"Endless, Nameless"
1869,The End.
1870,The End of the Game
1871,End of Beginning
1872,An End Has a Start
1873,Empty Walls
1874,Empty Spaces
1875,Emotion Sickness
1876,Emmenez moi
1877,Emilia Plater
1878,Emergency
1879,Emenius Sleepus
1880,Emancipation of the Mind
1881,Electroenergy
1882,Eleanor Rigby
1883,Elasticity
1884,El Scorcho
1885,Eighties (2007 Digital Remaster)
1886,Easy
1887,East Jesus Nowhere (Live)
1888,East Jesus Nowhere
1889,Eartha Kitt
1890,Dywizjon 303
1891,Dynamite Days
1892,Dusted
1893,Dust In the Wind
1894,Dumb Reminders
1895,Dumb
1896,Dumb
1897,Du hast
1898,Drunken Lullabies
1899,The Drugs Don't Work
1900,Drowning Man
1901,"Drop Dead, Casanova"
1902,"Drop Dead, Casanova"
1903,Drones
1904,Dreams
1905,Dream On
1906,Drama Queen
1907,Drain You
1908,Downer
1909,Down Under
1910,Down In a Hole
1911,Dope Nose
1912,Doornails
1913,Don't You (Forget About Me)
1914,Don't Stop Me Now
1915,Don't Look Back in Anger (Remastered)
1916,Don't Look Around
1917,Don't Let Go
1918,Don't Leave Me Now
1919,Dominated Love Slave
1920,The Dolphin's Cry
1921,Doin' Time
1922,Does Your Mother Know
1923,Do You Remember Rock 'N' Roll Radio?
1924,Do You Love Me Yet?
1925,Do I Wanna Know?
1926,Disparity By Design
1927,Disorder
1928,Disenchanted
1929,Disarm
1930,Dis-Moi
1931,Dirty Rotten Bastards
1932,Dirty Old Town
1933,Dirty Little Secret
1934,The Dirt Whispered
1935,Digital (Live) [Encore]
1936,Digital
1937,"Die, Die My Darling"
1938,Diary of a Madman
1939,Diamond On a Landmine
1940,Diamond In The Dark
1941,Devil's Dance Floor
1942,The Devil's Bleeding Crown
1943,Devil On My Shoulder
1944,The Devil In I
1945,Devil In a Midnight Mass
1946,Deutschland
1947,Destiny and Demise
1948,Destiny and Demise
1949,Desert Rose
1950,Demons Are a Girl's Best Friend
1951,Delta Rice
1952,Deja Vu (Initial D)
1953,Defy You
1954,Dedicated To the One I Love
1955,Deceptacon
1956,December (Again) [feat. Mark Hoppus]
1957,Decades
1958,Dearly Beloved (Acoustic)
1959,Dearly Beloved
1960,Deadbeat Holiday
1961,Dead!
1962,Dead Souls (Live)
1963,Dead Inside
1964,The Dead Heart
1965,The Dead Can't Testify
1966,The Day That the Earth Stalled
1967,Day After Day
1968,Daughter (Remastered)
1969,Das Boot
1970,Darlin'
1971,The Dark Side
1972,Dark Abyss
1973,Danse des mirlitons
1974,Dani California
1975,Danger Zone
1976,Dancing Queen
1977,Dancing In the Dark
1978,Dance Of The Clairvoyants
1979,Da Vinci
1980,Da sein
1981,The Cyber Grind
1982,Cyanide
1983,Cure for the Enemy
1984,Cumberland Gap
1985,Cult Hero
1986,CRY
1987,Crushcrushcrush
1988,Cretin Hop
1989,Creepers
1990,Creepers
1991,Creep
1992,Crazy On You
1993,Crazy Little Thing Called Love
1994,Crazy
1995,Crashland
1996,CORALINE
1997,Cool Kids
1998,Conquest of Paradise
1999,Confession
2000,Complicated
2001,Compliance
2002,Commando
2003,Coming Clean
2004,Comin' Home
2005,Comfortably Numb 2022
2006,Comfortably Numb (Live June 2000)
2007,Comfortably Numb
2008,Come Together
2009,Come Out and Play (Keep 'Em Separated)
2010,Come Back To Me
2011,Come Away with Me
2012,Come As You Are
2013,Come As You Are
2014,Colony (Live)
2015,Colony
2016,Collapse (Post-Amerika)
2017,Coffee & TV
2018,Coconut
2019,Clubbed To Death (Kurayamino Variation)
2020,"Clubbed to Death (From ""The Matirx"")"
2021,City Pavement
2022,City of Delusion
2023,City Haunts
2024,Cigarettes and Valentines (Live)
2025,Cigarettes & Alcohol
2026,Church On Sunday
2027,Chump
2028,Chronophobia (Acoustic)
2029,Christmas Kids
2030,Christie Road (Live) [Bonus Track]
2031,Christie Road
2032,Christian's Inferno
2033,Chop Suey!
2034,Chlorine
2035,Chiquitita
2036,Chippin' In (feat. Refused)
2037,Chinese Sword
2038,Chinese Bombs (2012 Remaster)
2039,Cherub Rock
2040,Chemical Wedding
2041,Chelsea Dagger
2042,Chechen Special Forces
2043,Chateau
2044,Chasing a Ghost
2045,Charmless Man
2046,Champagne Supernova (Remastered)
2047,The Chain
2048,Ceremony
2049,Cedynia 972
2050,Ce soir je m'en vais
2051,Ce soir
2052,Cave
2053,The Cave
2054,Cats in the Cradle
2055,Castaway
2056,Carpe Diem
2057,Carnavoyeur
2058,Careless Whisper
2059,Careless
2060,Cara al Sol
2061,The Captain
2062,Capital M-E
2063,Cancer
2064,Can't Stop
2065,Can't Repeat
2066,Can't Pretend
2067,Can't Knock the Hustle
2068,Can't Get Enough of Your Love
2069,Can't Deny Me
2070,Californication
2071,California Über Alles
2072,California Kids
2073,California Dreamin' (Single)
2074,Ça Plane Pour Moi
2075,Ca Plane Pour Moi
2076,C'et la mode
2077,Butterflies and Hurricanes
2078,Burnout (Live)
2079,Burnout
2080,Burn Me Up
2081,Burn
2082,Bullet with Butterfly Wings
2083,Buddy Holly
2084,Buddy Holly
2085,Buck Rogers
2086,Bubbles
2087,Brutus (Instrumental)
2088,Brutus
2089,Brutal Love
2090,Broken Machine
2091,Broken (iTunes Originals Version)
2092,Broadcasting to the Nations
2093,Broadcasting to the Nations
2094,Bro Hymn (2005 Remaster)
2095,Bring the Boys Back Home
2096,Brick in the Wave
2097,Brick in the Wave
2098,Breed
2099,Breaking the Law
2100,Breakdown
2101,Break Stuff
2102,Break On Through (To the Other Side)
2103,Brat
2104,Brain Stew
2105,Boys Don't Cry
2106,Bouncing Off the Wall
2107,Boulevard of Broken Dreams
2108,Born to Run
2109,Born to Beg
2110,Born to Be a Dancer
2111,Born In the U.S.A.
2112,Boom Clap
2113,Book of Brilliant Things (2002 Remastered)
2114,Bones
2115,Bohemian Rhapsody
2116,Body Bag
2117,Blue Monday '88
2118,Blue Monday
2119,Bloody Horizon
2120,"Blood, Sex and Booze"
2121,Blood Looks Cool
2122,Blood (Hidden Track)
2123,Block Rockin' Beats
2124,Blitzkrieg Bop
2125,Bliss
2126,Blinding Lights
2127,Blew
2128,Bleed American
2129,Black Widow Blues
2130,Black Sabbath
2131,Black Honey
2132,Black Hole Sun
2133,Black Euro
2134,Black Chandelier
2135,Black Balloon
2136,Black
2137,Bizarre Love Triangle '94
2138,Bitter Sweet Symphony
2139,The Bitter End
2140,Billie Jean
2141,Bigmouth Strikes Again
2142,Bigger Than Us
2143,Big Yellow Taxi (feat. Vanessa Carlton)
2144,Big Machine
2145,Big In Japan
2146,Big Cheese
2147,Big Bang
2148,Big Bad World
2149,Biessensoŭnasć
2150,Beverly Hills
2151,Between The Bars (Remastered 2017)
2152,Between Angels And Insects
2153,Better Man
2154,Better Living Through Chemistry
2155,Best Thing in Town
2156,Best of You
2157,The Bends
2158,Behind Blue Eyes
2159,Beggin'
2160,Beggar
2161,Before You Die
2162,Before the Lobotomy
2163,Beetlebum (2012 Remaster)
2164,Been a Son (Blew EP Version)
2165,Beautiful Day
2166,Beat On the Brat
2167,Be Yourself
2168,Be the One
2169,Be Quiet and Drive (Far Away) [Acoustic]
2170,Be Quiet and Drive (Far Away)
2171,Be My Baby
2172,Be Mine
2173,Bayside
2174,Bayside
2175,Bay of Biscay
2176,Basket Case
2177,Barracuda
2178,Barra Barra
2179,Bark at the Moon
2180,Bang Bang Bang Bang
2181,Bang Bang
2182,Badfish
2183,Bad to the Bone
2184,Bad Luck Charm
2185,Bad Liar
2186,bad guy
2187,Back To the Shack
2188,Back In the U.S.S.R.
2189,Back In Black
2190,"Baby, I Love You"
2191,BABY SAID
2192,Baby Eyes
2193,Baby Blue
2194,Bab's Uvula Who?
2195,B.Y.O.B.
2196,Auto Rock
2197,Authority Zero
2198,Ausländer
2199,August
2200,Atrocity Exhibition
2201,Atomic
2202,Atmosphere
2203,At the Library
2204,At 1 AM
2205,Assassin
2206,Asleep
2207,Asleep
2208,Ashley
2209,Ashes to Ashes (2016 Remastered Version)
2210,The Artist in the Ambulance
2211,Arsonists Vs. Firemen
2212,Army of the Night
2213,Armatage Shanks
2214,Armageddon
2215,Are We the Waiting / St. Jimmy
2216,Are We the Waiting
2217,Architects
2218,Apartment Story
2219,The Anthem
2220,Another State of Mind (Bonus Track)
2221,Another One Bites the Dust
2222,Another Love Song
2223,Another Life
2224,Another Day
2225,"Another Brick In the Wall, Pt. 3"
2226,"Another Brick In the Wall, Pt. 2"
2227,"Another Brick In the Wall, Pt. 1"
2228,Animals
2229,The Animal Trainer and the Toad
2230,Animal I Have Become
2231,Animal (Remastered)
2232,Angel of the Morning
2233,Angel Blue
2234,Angel
2235,Android
2236,"Anarchy In the U.K. (Denmark Street Demo, July 1976)"
2237,Amy
2238,Amsterdam
2239,Amour plastique
2240,"Amish Paradise (Parody of ""Gangsta's Paradise"" by Coolio)"
2241,Amerika (Live)
2242,Amerika
2243,American Skin (41 Shots)
2244,American Pie (Full Length Version)
2245,American Jesus (Andy Wallace Mix)
2246,American Jesus
2247,American Idiot (Live)
2248,American Idiot
2249,American Idiot
2250,"American Eulogy: A. Mass Hysteria, B. Modern World"
2251,American Dreams
2252,The American Dream Is Killing Me
2253,American Attraction
2254,Amanda
2255,Amanda
2256,Always Leaving
2257,Aluminum Union
2258,Alright (2015 - Remaster)
2259,Alone Again (Naturally)
2260,All These Things That I've Done
2261,All the Time
2262,All the Right Friends
2263,All the Pretty Flowers
2264,all the good girls go to hell
2265,All I Want
2266,All By Myself
2267,All Apologies (Live Acoustic)
2268,All Apologies
2269,All Along the Watchtower
2270,Alive
2271,Aline
2272,Ain't That Enough
2273,Against the Grain
2274,Aftermath
2275,After Dark
2276,Afro Left (Remastered)
2277,Afro Left
2278,Afrika Shox
2279,Africa
2280,Africa
2281,Afraid of Heights
2282,Afar
2283,Adam's Atoms (Acoustic)
2284,Across the Sea
2285,Across 110th Street
2286,Acharuli Gandagana (Trap Remix Edit)
2287,About a Girl (Live Acoustic)
2288,About a Girl
2289,About a Girl
